ticker          	 name                           	 price           	 volume          	 time                                     	 
ZZ              	 ZZ                             	 45.22           	 0               	 1991-10-04 10:32:32                      	 
INTC            	 Intel                          	 10              	 87393121        	 2014-03-28 22:50:12.739119               	 
RB              	 Roberts                        	 11              	 322313121       	 2014-03-28 22:50:12.739119               	 
CSCO            	 Cisco                          	 12              	 12393121        	 2014-03-28 22:50:12.739119               	 
DS              	 Daisy                          	 10              	 412931321       	 1992-10-04 10:32:32                      	 
Y               	 Yahoo                          	 14              	 5875431         	 2014-03-28 22:50:12.739119               	 
CY              	 Comcasty                       	 12              	 57864541        	 2014-03-28 22:50:12.739119               	 
LEN             	 lenovo                         	 52              	 52123411        	 2014-03-28 22:50:12.739119               	 
STPL            	 Staples                        	 13              	 52393121        	 2014-03-28 22:50:12.739119               	 
MECH            	 Mechanics                      	 6               	 523211231       	 2014-03-28 22:50:12.739119               	 
SYNC            	 Symantec                       	 15              	 56533121        	 2014-03-28 22:50:12.739119               	 
AT              	 Altavista                      	 121             	 85797076        	 2014-03-28 22:50:12.739119               	 
PP,             	 Plug Power                     	 141             	 88581117        	 2014-03-28 22:50:12.739119               	 
AM              	 Applied Materials              	 95              	 97278673        	 2014-03-28 22:50:12.739119               	 
FE              	 Fuelcell Energy                	 41              	 74073937        	 2014-03-28 22:50:12.739119               	 
DC              	 Delcath                        	 9               	 86836275        	 2014-03-28 22:50:12.739119               	 
HB              	 Huntington Bancshares          	 52              	 56233308        	 2014-03-28 22:50:12.739119               	 
OS              	 On Semiconductor               	 3               	 7393348         	 2014-03-28 22:50:12.739119               	 
CW              	 Cakewalk                       	 44              	 99636354        	 2014-03-28 22:50:12.739119               	 
Q               	 Qualcomm Incorporated          	 21              	 79000075        	 2014-03-28 22:50:12.739119               	 
PS              	 American Capital Agency        	 99              	 58850282        	 2014-03-28 22:50:12.739119               	 
S               	 Starbucks                      	 12              	 78064838        	 2014-03-28 22:50:12.739119               	 
